
|N   |clock_time|AVERAGE_OB    |MAX_OB  |MIN_OB  |
|1952|0.056831  |956827.200000 |995687  |927285  |
|1954|0.077699  |956538.800000 |984268  |936387  |
|1956|0.048269  |956395.200000 |978841  |935189  |
|1958|0.044090  |959898.800000 |973680  |938561  |
|1960|0.043499  |959831.000000 |983510  |930629  |
|1962|0.044027  |963419.700000 |980122  |946717  |
|1964|0.045593  |967655.400000 |990421  |950738  |
|1966|0.045460  |964819.300000 |979152  |952552  |
|1968|0.046700  |969481.400000 |988424  |955058  |
|1970|0.049562  |968234.900000 |981856  |951269  |
|1972|0.048020  |972972.600000 |991016  |950477  |
|1974|0.048980  |974449.200000 |984685  |959854  |
|1976|0.048440  |973719.100000 |987334  |951481  |
|1978|0.053272  |986751.900000 |1001548 |968415  |
|1980|0.047990  |978707.800000 |994457  |955075  |
|1982|0.050495  |988384.800000 |1016389 |951435  |
|1984|0.048294  |978077.700000 |999778  |958666  |
|1986|0.046118  |994043.000000 |1015917 |976293  |
|1988|0.049071  |992958.600000 |1016186 |972194  |
|1990|0.046346  |992366.900000 |1009957 |969438  |
|1992|0.048465  |996563.900000 |1015715 |968966  |
|1994|0.048170  |988807.600000 |1031969 |955490  |
|1996|0.048972  |994266.300000 |1002980 |979582  |
|1998|0.049404  |991941.800000 |1013155 |965704  |
|2000|0.048322  |1004663.300000|1025535 |988649  |
|2002|0.047966  |998614.100000 |1029471 |978939  |
|2004|0.046714  |1006555.900000|1036982 |983505  |
|2006|0.047813  |1003449.100000|1022734 |984700  |
|2008|0.048058  |1019783.300000|1047432 |973540  |
|2010|0.047170  |1007453.000000|1030537 |979817  |
|2012|0.048516  |1008197.000000|1023364 |993609  |
|2014|0.053105  |1018255.500000|1048956 |991344  |
|2016|0.049244  |1023686.200000|1047842 |1003000 |
|2018|0.053021  |1023886.400000|1053164 |1006332 |
|2020|0.053341  |1019900.600000|1029164 |1007794 |
|2022|0.053691  |1025004.000000|1042421 |1000014 |
|2024|0.052141  |1023847.700000|1047657 |1004779 |
|2026|0.053952  |1028934.300000|1046796 |1014838 |
|2028|0.052738  |1034412.500000|1053588 |1002814 |
|2030|0.055594  |1032372.200000|1063502 |1004985 |
|2032|0.051991  |1035141.000000|1058709 |1019270 |
|2034|0.057349  |1033003.000000|1057624 |1005604 |
|2036|0.054521  |1034297.700000|1059227 |1012478 |
|2038|0.055843  |1030846.900000|1052418 |1001918 |
|2040|0.057423  |1040582.600000|1068745 |1011290 |
|2042|0.055919  |1041629.200000|1061118 |1022969 |
|2044|0.053209  |1052871.100000|1080610 |1024288 |
|2046|0.055914  |1052055.900000|1073234 |1028511 |
|2048|0.051704  |1056824.300000|1080371 |1028534 |
|2050|0.051117  |1055713.800000|1071985 |1037124 |
|2052|0.096808  |1042778.000000|1087543 |1015314 |
|2054|0.092975  |1053197.500000|1084874 |1020491 |
